ID,intermID,name,state,totpop2019
77,3201,Vitória,ES,2274193
78,3202,São Mateus,ES,645772
79,3203,Colatina,ES,460107
80,3204,Cachoeiro do Itapemirim,ES,638578
97,4101,Curitiba,PR,4129300
98,4102,Guarapuava,PR,426426
99,4103,Cascavel,PR,2047385
100,4104,Maringá,PR,1879867
101,4105,Londrina,PR,1970161
102,4106,Ponta Grossa,PR,980818

